,,area,decoration_level,distance_to_metro,house_price,num_floor,rooms,unit_price
568,,87.04, ,314,270,6,3,31020
569,,51.64, ,258,370,7,2,71650
570,,72.5, ,692,1030,6,3,142069
571,,62.5, ,671,480,12,3,76800
572,,44.09,精装,858,285,28,2,64641
573,,61.99, ,1053,310,6,3,50008
574,,55.71, ,1300,250,16,3,44875
575,,72.4,简装,362,810,6,4,111878
576,,73.6, , ,615,6,3,83560
577,,109.91, ,993,325,8,4,29570
578,,106,精装,346,790,18,4,74528
579,,81.93, ,530,550,25,4,67130
580,,66.18,中装,761,300,3,3,45331
581,,126.18,精装, ,540,6,5,42796
582,,53.79, ,771,200,7,2,37182
583,,57.2, ,538,780,5,3,136364
584,,75.2, ,346,524,18,3,69681
585,,59.9,精装,719,748,6,3,124875
586,,70.73,简装,958,435,6,3,61501
587,,124.52,精装,663,970,23,4,77899
588,,87.64, ,358,1260,16,3,143770
589,,96.94, ,265,305,6,3,31463
590,,124.47, ,1443,488,10,5,39206
591,,124.67, ,986,490,6,5,39304
592,,96.42, ,589,1040,13,4,107861
593,,69.29, ,158,430,22,3,62058
594,,136.82,简装, ,800,9,5,58471
595,,71, ,1151,860,13,3,121127
596,,40.67, ,326,300,15,2,73764
597,,69.48,精装,679,399,6,4,57427
598,,81.62,精装,868,650,6,4,79637
599,,69.08, ,1394,435,20,2,62970
600,,113.74, ,265,760,15,3,66819
601,,110.51, , ,550,6,5,49769
602,,78.8,简装,650,850,4,4,107868
603,,97, ,409,600,16,4,61856
604,,45.44, ,457,300,32,2,66021
605,,57.38,精装,858,320,18,2,55769
606,,72.11,精装,872,324,26,3,44931
607,,91.56,中装, ,320,6,3,34950
608,,104.69, ,666,490,6,4,46805
609,,69.08, ,1394,425,20,2,61523
610,,97.6,中装,392,910,12,3,93238
611,,88.6,中装,1027,841,6,3,94921
612,,123.04, ,370,580,6,5,47139
613,,113,中装, ,510,6,4,45133
614,,63.44, ,108,373,24,2,58796
615,,69.45, ,223,430,22,2,61915
616,,85.2, ,447,852,5,4,100000
617,,140.4, ,1023,950,19,4,67664
618,,70.49, ,435,680,6,4,96468
619,,61.76, ,637,530,12,3,85816
620,,61.82, ,1116,480,4,3,77645
621,,104.87,精装,332,470,6,5,44817
622,,104.9, ,588,860,21,3,81983
623,,63.63, ,1343,288,6,3,45262
624,,66.49,精装,452,280,21,2,42112
625,,68.8, ,525,385,22,2,55959
626,,88.05, ,861,550,14,4,62465
627,,79.35, ,1207,455,20,3,57341
628,,60.6,精装,294,375,6,3,61881
629,,88.03, ,529,500,32,3,56799
630,,140.76, ,854,1090,12,5,77437
631,,45.1, ,1098,330,14,2,73171
632,,69.13, ,1260,350,6,4,50629
633,,98.58,精装,630,540,25,4,54778
634,,138.13, ,1059,490,6,5,35474
635,,106.33,精装,1031,450,12,4,42321
636,,163.88, ,862,780,11,5,47596
637,,123.93, ,880,990,17,5,79884
638,,135.12,中装,691,780,22,5,57726
639,,58.57, ,465,339,6,2,57879
640,,244.26, ,1252,1300,6,7,53222
641,,116.11, ,720,550,6,5,47369
642,,118.35,精装,457,475,6,5,40135
643,,102.71,简装,819,600,14,4,58417
644,,138.03, ,854,1100,12,5,79693
645,,77.53,中装,1097,1120,13,3,144460
646,,144.52,精装,990,700,18,5,48436
647,,115.23, ,835,950,24,4,82444
648,,130.3,精装,482,1300,27,5,99770
649,,65.05, ,775,255,6,2,39201
650,,52.9, ,486,500,5,3,94518
651,,100.92, ,335,750,21,3,74316
652,,55.12,精装,428,650,6,3,117925
653,,62.09, ,404,480,6,3,77307
654,,69.96, ,856,480,13,3,68611
655,,91.78, ,729,440,17,4,47941
656,,88.09,简装,686,415,24,3,47111
657,,150.6, ,274,1400,6,5,92961
658,,271.88,精装,287,1450,2,6,53332
